approve,Disapproving,Unsure/NoData,shutdown
40,57,3,0
40,57,3,0
38,58,4,1
36,59,5,1
38,57,5,0
37,58,5,0
41,51,8,0
41,51,8,0
42,50,8,0
44,49,7,0
44,49,7,0
44,50,6,0
42,51,7,0
42,52,6,0
43,50,7,0
43,51,6,0
44,50,6,0
43,51,6,0
44,50,6,0
42,51,7,0
43,50,7,1
42,52,6,1
43,51,6,1
42,51,7,1
41,53,6,1
41,53,6,1
42,52,6,1
43,51,6,1
43,51,6,1
43,50,7,1
44,51,5,1
46,48,6,1
45,49,6,1
43,49,8,1
41,52,7,1
41,52,7,1
44,50,6,1
45,48,7,1
45,48,7,0
44,48,8,0
43,50,7,0
43,50,7,0
44,49,7,0
47,46,7,0
46,47,7,0
46,47,7,0
45,47,8,0
47,45,8,0
45,45,10,0
44,47,9,0
45,47,8,0
45,47,8,0
52,42,6,0
46,46,7,0
42,49,8,1
50,43,5,1
53,37,9,0
52,40,7,0
52,36,10,0
56,32,10,0
56,33,10,0
66,22,11,1
65,25,9,0
67,19,12,0
58,32,8,0
53,35,10,1
56,36,6,0
56,35,7,0
54,35,10,0
51,36,11,0
37,49,12,1
31,55,12,1
31,54,13,0
28,58,12,0
54,26,18,0
56,27,16,1
55,29,14,0
54,30,15,1
51,30,18,0
54,29,16,0
54,29,15,0
59,23,17,0
53,29,17,1
66,15,18,0
59,22,17,0